,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Experience_yrs,3.894736842,6,1,7,3,6,2,7,0,5,6,3,7,6,3,1,1,5,4,0,4
R,8.421981241,8.12429208,8.347991636,3.546855529,6.219950902,8.007913995,9.964168117,3.052628799,9.462027761,9.011578252,8.293556354,8.710127373,3.801901538,8.201168443,4.510445935,9.593713491,8.242719746,2.365429499,5.843406425,7.045161811,3.924011887
DataStructures,8.777076859,6.033201305,9.777345798,8.031364633,8.249470017,5.616453711,8.010443869,4.582908478,7.103451596,9.412896776,5.547510347,6.723824609,8.033620973,8.189099355,3.972968958,0.40233194,9.878632135,6.232110452,7.814650006,1.670926922,6.877451313
SAS,9.478978732,7.535706374,9.553649107,8.773612219,6.835988895,8.023954032,2.445214728,8.060010018,6.821105193,5.923683159,4.117688652,7.927788107,9.573074749,9.396220993,9.697039948,8.0405263,4.157903998,9.30632406,8.203254819,6.44135968,8.797762851
matlab,7.30553016,4.295463299,9.308398419,7.737696451,8.48974131,5.985000203,6.983740479,6.498219393,6.15185647,6.43333359,3.363867826,8.441631502,5.682586154,9.851288201,8.013734792,6.91811917,8.476728675,4.541203285,9.75541665,6.130563981,6.794574467
machine_learning,9.62546861,8.707024705,8.301943522,9.331644231,6.965182026,7.213425215,7.91451172,7.092678198,6.791077681,6.543660165,9.476391819,6.629121928,3.651640966,8.26240425,6.335011716,8.104126236,9.206730625,3.968672058,7.399254418,9.741717212,2.869229926
Python,9.444941363,8.691061489,8.368942731,7.410844115,9.482118742,9.412343963,4.437229062,7.675755352,8.053883246,6.692586206,6.855642443,0.327511857,9.129323295,6.313214511,9.841663145,7.591520172,1.896223584,7.423171763,7.674977112,5.187606668,4.665762216
data_visualisation,9.033339884,7.202240074,7.781753283,4.655780686,3.715048639,7.218874035,6.913953864,7.981151316,7.408690413,9.979264459,9.022985716,9.027173117,9.494955535,4.395698355,5.998060895,7.178448806,8.31269726,9.401945106,8.010037212,4.298969421,4.066071913
querying_languages,6.752263095,1.706196833,1.059953785,7.446097109,4.501699505,1.841805187,4.792505972,2.545389779,7.464752806,6.834399851,6.118750718,5.980477738,8.901563546,6.280328033,3.808939089,2.769609776,4.765784818,2.904285454,6.854543351,6.616534576,5.58900675
BigData,6.466496933,4.143588899,5.916766422,5.48050058,5.357328024,4.681349936,8.414018245,6.066107432,3.111702083,9.679528122,2.74565664,5.35422108,2.886919144,6.473759974,8.68041704,9.819444613,1.474103079,5.129660445,2.99475255,5.907424703,8.265754002
calculus,3.41496577,4.373900371,6.081989013,1.507489715,0.187972666,9.861228263,1.776354547,1.715579247,0.463801947,5.716031955,5.676907969,1.784519607,4.990989767,5.405326026,7.790175801,0.73716452,3.106785484,6.753172614,1.981339058,3.849128503,5.818952378
Microsoft_Excel,7.758324648,7.363886244,6.345569749,5.783242341,7.197885498,3.062603578,8.334530578,4.990475488,8.668488313,6.683642013,8.903012356,4.378078202,6.393522807,3.566686029,2.198302914,9.187398385,8.967970995,7.909679635,5.586865703,7.650925568,2.687893086
Artificial_Intelligence,5.948435595,9.262478871,9.330472142,2.313584618,6.694897073,3.940101074,7.999129222,5.991393214,4.001623914,0.28051177,6.231684601,2.136134238,5.916816271,3.805885232,1.902871222,7.031603881,6.256075723,5.919623667,9.653279385,3.380694241,6.604085433
probability&statistics,8.293367699,9.764823771,8.626706636,5.405311914,8.662742199,9.816579931,6.991101324,9.532725108,3.346421143,7.619774836,5.647335557,9.443975314,6.742132582,5.401149036,5.948367081,6.891539044,5.728499496,9.706713836,2.038391795,6.830284195,2.932623354
IOT,3.107796438,2.530953272,3.96029735,1.620840082,7.691356126,5.20685225,3.988671053,4.551003544,4.867008797,3.593387482,5.668846614,1.93454204,7.030187801,9.21900123,1.252342082,0.182067834,4.470225771,4.007765375,8.734104254,2.019166654,3.462545634
